Faturamento do dia;Data;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
R$1 995,86;01/10/2025;R$ 15,74;R$ 177,10;R$ 8,91;R$ 246,75;R$ 142,45;R$ 57,54;R$ 68,31;R$ 129,50;R$ 221,98;R$ 548,13;R$ 289,85;R$ 56,17;R$ 49,17;R$ 0,00;R$ 0,00
R$2 733,63;02/10/2025;R$ 0,00;R$ 30,80;R$ 206,58;R$ 34,34;R$ 82,62;R$ 232,21;R$ 21,42;R$ 395,45;R$ 503,91;R$ 782,21;R$ 68,11;R$ 366,08;R$ 9,90;R$ 0,00;R$ 0,00
R$2 362,42;03/10/2025;R$ 0,00;R$ 84,41;R$ 45,24;R$ 54,05;R$ 145,43;R$ 61,31;R$ 195,25;R$ 493,24;R$ 247,22;R$ 338,58;R$ 380,32;R$ 260,36;R$ 57,01;R$ 0,00;R$ 0,00
R$3 217,42;04/10/2025;R$ 0,00;R$ 42,27;R$ 234,74;R$ 176,55;R$ 130,57;R$ 306,21;R$ 429,90;R$ 380,37;R$ 378,86;R$ 372,46;R$ 226,05;R$ 429,22;R$ 75,24;R$ 34,98;R$ 0,00
R$1 456,55;05/10/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 45,33;R$ 154,45;R$ 89,54;R$ 166,00;R$ 183,79;R$ 377,44;R$ 266,75;R$ 8,25;R$ 165,00;R$ 0,00;R$ 0,00;R$ 0,00
R$1 975,19;06/10/2025;R$ 0,00;R$ 0,00;R$ 275,99;R$ 164,12;R$ 52,38;R$ 158,96;R$ 74,36;R$ 124,76;R$ 350,45;R$ 282,37;R$ 307,44;R$ 53,64;R$ 130,72;R$ 0,00;R$ 0,00
R$1 620,85;07/10/2025;R$ 0,00;R$ 277,49;R$ 19,60;R$ 55,77;R$ 109,45;R$ 34,98;R$ 45,17;R$ 304,30;R$ 293,81;R$ 241,67;R$ 171,58;R$ 53,13;R$ 13,90;R$ 0,00;R$ 0,00
R$2 694,44;08/10/2025;R$ 0,00;R$ 37,11;R$ 257,82;R$ 85,48;R$ 51,40;R$ 172,42;R$ 141,13;R$ 225,17;R$ 603,67;R$ 217,44;R$ 457,79;R$ 345,07;R$ 75,30;R$ 24,64;R$ 0,00
R$1 854,25;09/10/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 480,73;R$ 127,97;R$ 154,66;R$ 211,06;R$ 223,40;R$ 321,88;R$ 213,70;R$ 65,19;R$ 55,66;R$ 0,00;R$ 0,00
R$3 048,95;10/10/2025;R$ 0,00;R$ 124,76;R$ 346,17;R$ 129,56;R$ 43,70;R$ 168,38;R$ 137,17;R$ 487,08;R$ 598,04;R$ 448,25;R$ 363,03;R$ 131,54;R$ 71,27;R$ 0,00;R$ 0,00
R$4 876,57;11/10/2025;R$ 0,00;R$ 135,97;R$ 457,07;R$ 126,26;R$ 276,18;R$ 247,83;R$ 328,09;R$ 668,92;R$ 413,30;R$ 747,88;R$ 606,61;R$ 546,71;R$ 321,75;R$ 0,00;R$ 0,00
R$1 670,73;12/10/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 70,09;R$ 71,06;R$ 76,37;R$ 179,61;R$ 307,01;R$ 186,25;R$ 343,45;R$ 28,29;R$ 408,60;R$ 0,00;R$ 0,00;R$ 0,00
R$2 269,06;13/10/2025;R$ 0,00;R$ 31,68;R$ 311,35;R$ 151,91;R$ 59,69;R$ 27,80;R$ 290,67;R$ 251,81;R$ 245,59;R$ 417,18;R$ 358,84;R$ 80,96;R$ 41,58;R$ 0,00;R$ 0,00
R$1 466,74;14/10/2025;R$ 32,80;R$ 62,18;R$ 144,33;R$ 0,00;R$ 198,66;R$ 0,00;R$ 76,05;R$ 188,98;R$ 267,77;R$ 375,46;R$ 144,40;R$ 8,91;R$ 0,00;R$ 0,00;R$ 0,00
R$2 466,86;15/10/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 430,00;R$ 92,64;R$ 134,38;R$ 320,21;R$ 553,96;R$ 574,01;R$ 280,18;R$ 81,48;R$ 0,00;R$ 0,00;R$ 0,00
R$2 200,14;16/10/2025;R$ 0,00;R$ 57,86;R$ 327,48;R$ 224,29;R$ 238,61;R$ 242,56;R$ 183,15;R$ 112,53;R$ 316,56;R$ 184,91;R$ 180,47;R$ 0,00;R$ 131,72;R$ 0,00;R$ 0,00
R$2 027,41;17/10/2025;R$ 0,00;R$ 110,76;R$ 109,34;R$ 59,59;R$ 68,42;R$ 106,75;R$ 18,59;R$ 284,32;R$ 240,36;R$ 421,88;R$ 253,06;R$ 234,44;R$ 119,90;R$ 0,00;R$ 0,00
R$2 821,73;18/10/2025;R$ 0,00;R$ 35,53;R$ 256,34;R$ 195,14;R$ 299,73;R$ 134,64;R$ 58,08;R$ 621,20;R$ 343,22;R$ 556,32;R$ 33,99;R$ 122,65;R$ 142,99;R$ 21,90;R$ 0,00
R$1 316,39;19/10/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 20,59;R$ 17,90;R$ 69,96;R$ 116,49;R$ 209,24;R$ 171,49;R$ 460,46;R$ 223,86;R$ 26,40;R$ 0,00;R$ 0,00;R$ 0,00
R$1 243,87;20/10/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 27,39;R$ 98,24;R$ 225,01;R$ 175,32;R$ 136,73;R$ 120,12;R$ 408,14;R$ 0,00;R$ 52,92;R$ 0,00;R$ 0,00;R$ 0,00
R$2 008,49;21/10/2025;R$ 9,90;R$ 61,16;R$ 128,37;R$ 33,88;R$ 190,19;R$ 118,94;R$ 213,96;R$ 238,61;R$ 346,97;R$ 359,98;R$ 115,94;R$ 98,45;R$ 102,04;R$ 0,00;R$ 0,00
R$1 863,14;22/10/2025;R$ 0,00;R$ 51,51;R$ 110,11;R$ 152,16;R$ 151,27;R$ 203,83;R$ 140,49;R$ 187,00;R$ 403,35;R$ 178,34;R$ 186,56;R$ 18,59;R$ 79,93;R$ 0,00;R$ 0,00
R$2 494,78;23/10/2025;R$ 35,44;R$ 36,08;R$ 307,89;R$ 173,04;R$ 95,28;R$ 22,88;R$ 143,31;R$ 260,52;R$ 394,24;R$ 336,18;R$ 515,13;R$ 0,00;R$ 210,23;R$ 0,00;R$ 0,00
R$2 397,25;24/10/2025;R$ 12,90;R$ 40,85;R$ 143,33;R$ 143,17;R$ 246,40;R$ 119,13;R$ 154,11;R$ 237,34;R$ 257,06;R$ 674,52;R$ 167,82;R$ 188,72;R$ 24,80;R$ 0,00;R$ 0,00
R$2 510,14;25/10/2025;R$ 0,00;R$ 235,18;R$ 280,28;R$ 52,93;R$ 67,67;R$ 33,70;R$ 157,30;R$ 509,00;R$ 684,49;R$ 219,89;R$ 149,25;R$ 120,45;R$ 0,00;R$ 0,00;R$ 0,00
R$1 107,73;26/10/2025;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 196,68;R$ 86,57;R$ 49,06;R$ 95,15;R$ 181,50;R$ 229,79;R$ 216,51;R$ 52,47;R$ 0,00;R$ 0,00;R$ 0,00
R$1 824,49;27/10/2025;R$ 0,00;R$ 37,18;R$ 11,99;R$ 22,88;R$ 67,87;R$ 162,92;R$ 270,08;R$ 270,16;R$ 244,42;R$ 315,04;R$ 196,24;R$ 97,71;R$ 128,00;R$ 0,00;R$ 0,00
R$1 363,20;28/10/2025;R$ 0,00;R$ 170,85;R$ 126,94;R$ 136,51;R$ 198,99;R$ 0,00;R$ 219,60;R$ 222,99;R$ 162,47;R$ 124,85;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
R$1 300,87;29/10/2025;R$ 0,00;R$ 22,41;R$ 52,38;R$ 246,63;R$ 21,78;R$ 31,63;R$ 150,12;R$ 180,73;R$ 92,97;R$ 232,09;R$ 142,71;R$ 127,42;R$ 0,00;R$ 0,00;R$ 0,00
R$2 750,62;30/10/2025;R$ 0,00;R$ 0,00;R$ 405,35;R$ 110,78;R$ 206,04;R$ 183,22;R$ 125,95;R$ 238,67;R$ 294,36;R$ 709,68;R$ 111,97;R$ 296,80;R$ 67,80;R$ 0,00;R$ 0,00
